0seqname_firstname_last agstreet              city      state     zip       dollar              pick  date      0000000000000000000000000float00000000000000000000credt-card00000000000000000000000natural
0001Ophelia   Reed      24Valuh Place         Corepene  NC        50579     $4697.48            BLUE  03/16/20180000000000000-707536036560.896000000000000006011528331181333000000000000004544978615271424
0002Lula      Davidson  56Naew Grove          Muidinep  AL        02300     $5396.97            YELLOW10/24/2036000000000000-805490182533.9392000000000000006376641878057656000000000000008742743220158464
0003Irene     Griffin   61Idaipu Key          Kaccier   MT        30456     $4495.67            WHITE 04/09/2062000000000000-284910011442.7904000000000000000201411463955381000000000000002490941313122304
0004Herman    Howell    48Ficis Key           Tohashuk  HI        59319     $1229.89            RED   05/26/1985000000000000-713570963895.0912000000000000000349836723242605000000000000000178874518339584
0005Jayden    Walton    56Ofege Path          Ujfeus    TN        72437     $8601.93            BLUE  05/21/19090000000000000852254639993.6512000000000000004026495586159950000000000000008816484167974912
0006Alfred    Hill      49Futpub Extension    Evvuute   OR        45446     $5014.76            GREEN 04/12/20080000000000000-244235261444.096000000000000006334636971817726000000000000000076802036858880
0007Eula      Mullins   45Igdud Key           Ukruez    VT        92999     $9089.90            RED   01/29/1949000000000000-768832520899.7888000000000000006374087477868790000000000000005109238330294272
0008Caroline  Santiago  23Hifin Glen          Leunpi    KY        87817     $9344.83            WHITE 02/06/19220000000000000830729412725.9648000000000000006011335430055891000000000000001698768548265984
0009Kenneth   Lane      43Zakna Pike          Nigzozelu MN        94248     $4733.00            GREEN 01/27/2032000000000000-753593924924.2112000000000000003528816909907996000000000000001599180288032768
0010Jeffrey   Holt      63Evriv Highway       Jesewi    CT        17172     $2786.95            WHITE 01/28/2057000000000000-310137169169.6128000000000000000342026447611924000000000000001119351864295424
0011Jim       Byrd      37Tireh Loop          Jinduwut  ME        85221     $8399.64            YELLOW02/24/204500000000000000-26901445869.568000000000000006289357013761641000000000000007802138394624000
0012Henrietta Day       20Efivu Key           Hicofepaf GA        28942     $9772.08            BLUE  05/18/1994000000000000-544191165340.0576000000000000005610019327512837000000000000003327873003814912
0013Amelia    Young     20Kefza Plaza         Imijobdan TN        72912     $334.17             BLUE  04/23/195100000000000000761012097646.592000000000000000030028850390597000000000000003313096596652032
0014Mayme     Erickson  62Hihu Loop           Kidbokhob NC        36946     $6968.92            WHITE 01/10/20580000000000000360997325058.8672000000000000006376388090617699000000000000005549757212655616
0015Maria     Rose      22Amahi Pike          Hizgahov  TX        38269     $5854.48            BLUE  07/06/192800000000000000407898456850.432000000000000000030044248127435000000000000007520153394741248
0016Charlie   Chandler  52Ruwju Drive         Kuliba    WA        50885     $8302.35            GREEN 02/01/20580000000000000373405158840.7296000000000000005018953852156388000000000000003611512623071232
0017Duane     Walsh     26Zemmu View          Rabhirel  DC        51682     $2149.12            GREEN 01/14/19700000000000000-99921252738.6624000000000000005018837248047155000000000000002501571428483072
0018Minnie    Santos    48Egsu Path           Cobfuho   MA        63770     $9419.59            RED   02/14/20350000000000000730108693944.7296000000000000003528771865186269000000000000008034342603325440
0019Troy      Powers    46Nilfic Ridge        Kalzalso  KY        78934     $4598.30            BLUE  02/16/1924000000000000-165796926350.9504000000000000005108638550512989000000000000006068168720121856
0020Billy     Smith     38Luwor Avenue        Patutnaw  AZ        50714     $8943.83            GREEN 05/15/1990000000000000-714475584670.9248000000000000005018893128945174000000000000000932640947437568
0021Jordan    Crawford  64Wenpas Avenue       Cemhecmu  SC        69774     $6956.93            YELLOW09/13/1999000000000000-635750902765.9775000000000000006334902566210655000000000000007704857475547136
0022Lillian   Chapman   40Fakij Pike          Kivkuuc   AZ        33042     $3265.76            GREEN 08/30/2038000000000000000-46178941009.92000000000000006011453693714177000000000000008555565114458112
0023Delia     George    51Nuhu Court          Hejingor  WV        26918     $6914.87            RED   08/30/19280000000000000302594329988.3008000000000000004937356321062644000000000000002483620333748224
0024Tillie    Sparks    47Izjaw View          Rotukid   NM        24642     $6341.50            WHITE 03/29/20250000000000000778851209078.3744000000000000006334876207616068000000000000003142717206953984
0025Rodney    Kelly     37Riroz Court         Imiduej   LA        68125     $525.76             BLUE  12/09/19020000000000000-65711557627.0848000000000000006334486634612340000000000000007199926977036288
0026Austin    Blair     40Wolut River         Zelefa    TX        79593     $2065.83            WHITE 06/19/19990000000000000747885876058.5216000000000000005410799080599681000000000000005142979635314688
0027Rodney    Perkins   41Uwugar Way          Eftoegi   MD        68467     $8445.92            BLUE  07/16/19000000000000000388853121889.0752000000000000004564926830404410000000000000003680271513681920
0028Myra      Pierce    25Keehu Pike          Evoowdi   OH        93063     $3083.17            YELLOW10/19/19400000000000000470597680863.6416000000000000006011340105119881000000000000002090760908308480
0029Joseph    Long      54Jolor Loop          Gowukit   HI        98209     $2996.70            RED   08/22/20690000000000000225037601105.5104000000000000000030026657735758000000000000007372185001787392
0030Miguel    Phillips  48Rula Manor          Pimowa    WI        65883     $48.14              RED   03/29/19400000000000000893608839138.5088000000000000004026475774761023000000000000006098669336002560
0031Brent     Bass      18Cipbut Boulevard    Erivodic  DE        18005     $4039.84            WHITE 03/28/2017000000000000-878199086199.6031000000000000005429675293825759000000000000008347483690237952
0032Nancy     Stevens   27Giru Key            Facofbe   ID        79061     $2661.53            YELLOW03/02/20140000000000000451783122380.3904000000000000005610773868257042000000000000000660251753840640
0033Manuel    Terry     59Biete Loop          Casnitfa  NJ        54321     $3846.46            RED   05/20/2019000000000000-887301246392.7296000000000000006264878281670973000000000000008189860877697024
0034Trevor    Figueroa  58Falje Parkway       Imavebaj  NE        28095     $4598.70            BLUE  08/17/2004000000000000000118748337930.24000000000000004026474464141182000000000000006533258965680128
0035Helena    Rodgers   63Vizucu Parkway      Sugiheba  MS        22919     $1633.90            YELLOW06/30/19380000000000000384660233886.1056000000000000000030081933198594000000000000008738595089154048
0036George    Oliver    50Utaoca Avenue       Jiiwanos  AZ        72689     $5394.75            RED   05/19/2001000000000000-745434069650.6368000000000000004595976581687708000000000000003846058278912000
0037Lydia     Singleton 43Iheco Trail         Upsopo    NV        84294     $9188.41            RED   05/17/201200000000000000291154719408.128000000000000005610048039534037000000000000008016685239894016
